age_decades,0.0,1.0,2.0
"(17, 30]",141,45,1
"(30, 40]",109,49,0
"(40, 50]",81,48,1
"(50, 60]",75,55,1
"(60, 70]",23,39,0
"(70, 80]",4,9,0
"(80, 90]",0,1,0
"(90, 120]",0,2,0
